,SUBURB,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
0,ALEXANDER HEIGHTS,1.8515625,3.7890625,2.140625,627.703125,1991.8515625,13968.75,7085.9375,2017,-31.8269026,115.8671293,WA,6064
1,ALFRED COVE,1.7916666666666667,3.5083333333333333,1.9833333333333332,616.7416666666667,1989.6416666666669,9787.958333333334,3881.133333333333,2016,-32.0318604,115.8181396,WA,6154
2,ALKIMOS,1.973684210526316,3.631578947368421,1.8771929824561404,9031.622807017544,2009.929824561404,40705.26315789474,2512.4561403508774,2019,-31.6171563,115.6805868,WA,6038
3,ANKETELL,2.1052631578947367,4.157894736842105,2.736842105263158,21029.36842105263,1997.2631578947369,29368.42105263158,4005.2631578947367,2011,-32.2179086,115.8593099,WA,6167
4,APPLECROSS,2.3037974683544302,3.784810126582279,2.354430379746836,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018,-32.0116062,115.8387269,WA,6153
5,APPLECROSS,2.3037974683544302,3.784810126582279,2.354430379746836,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018,-32.0116,115.839,WA,6953
6,ARDROSS,2.066115702479338,3.727272727272727,2.008264462809917,542.9090909090909,1991.429752066116,8528.099173553719,2404.1322314049585,2017,-32.0221019,115.8353491,WA,6153
8,ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.15873015873,25782.53968253968,1082.4444444444443,2019,-32.1473012,116.0128764,WA,6112
9,ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.15873015873,25782.53968253968,1082.4444444444443,2019,-32.1473012,116.0128764,WA,6992
14,ASCOT,2.0,3.566666666666667,2.091666666666667,687.2583333333333,1994.7416666666663,6890.0,2303.333333333333,2016,-31.9354582,115.9297299,WA,6104
16,ASHBY,1.98876404494382,3.758426966292135,1.9943820224719104,513.3876404494382,2005.6685393258424,24733.76404494382,3236.4157303370785,2015,-31.7331506,115.7993996,WA,6065
20,ASHFIELD,1.5670731707317074,3.347560975609756,1.8170731707317076,646.1158536585366,1984.3475609756097,8398.780487804877,600.0914634146342,2012,-31.9172344,115.9366041,WA,6054
21,ATTADALE,2.1842105263157894,3.754385964912281,1.9649122807017545,775.2719298245614,1983.745614035088,9911.40350877193,4585.964912280701,2018,-32.0248597,115.7996837,WA,6156
22,ATWELL,1.9692307692307691,3.8,1.958974358974359,594.1589743589743,2000.7794871794872,21368.71794871795,2245.702564102564,2018,-32.1460122,115.8651336,WA,6164
23,AUBIN GROVE,2.037037037037037,3.919753086419753,2.308641975308642,562.3518518518518,2005.5617283950617,24174.69135802469,4954.938271604939,2017,-32.1683982,115.8611445,WA,6164
24,AVELEY,1.9932432432432432,3.77027027027027,2.0945945945945947,20786.864864864863,2006.3986486486488,22337.83783783784,12284.45945945946,2019,-31.7775422,115.9864678,WA,6069
25,BALCATTA,1.647887323943662,3.197183098591549,1.7605633802816902,723.0704225352113,1989.4788732394368,8836.61971830986,2769.0140845070423,2018,-31.8601754,115.8104652,WA,6021
26,BALCATTA,1.647887323943662,3.197183098591549,1.7605633802816902,723.0704225352113,1989.4788732394368,8836.61971830986,2769.0140845070423,2018,-31.8601754,115.8104652,WA,6914
27,BALDIVIS,2.0,3.87037037037037,1.8888888888888888,1434.148148148148,2004.9907407407409,43297.22222222222,4758.333333333333,2020,-32.3222184,115.8285153,WA,6171
28,BALGA,1.5344827586206895,3.155172413793104,1.7241379310344829,518.8103448275862,1989.1896551724135,11086.206896551725,4317.241379310345,2018,-31.8576435,115.8357889,WA,6061
29,BALLAJURA,1.7681159420289856,3.77536231884058,2.0144927536231885,645.036231884058,1991.4057971014493,12827.536231884058,8490.579710144928,2018,-31.836786,115.8935783,WA,6066
30,BANJUP,2.1875,4.1875,4.46875,20072.15625,1991.1875,22737.5,4262.5,2016,-32.1570175,115.8890062,WA,6164
31,BANKSIA GROVE,1.933734939759036,3.620481927710844,2.0120481927710845,491.1746987951808,2007.210843373494,28821.68674698795,6093.975903614458,2018,-31.7032401,115.8049933,WA,6031
32,BASKERVILLE,2.2,4.1,2.3,52488.6,1990.65,25075.0,11635.0,2007,-31.7971967,116.0505576,WA,6056
34,BASSENDEAN,1.6210526315789473,3.263157894736842,1.7473684210526317,754.8105263157895,1980.7263157894736,9948.421052631578,741.5578947368421,2019,-31.9076376,115.9425873,WA,6054
35,BASSENDEAN,1.6210526315789473,3.263157894736842,1.7473684210526317,754.8105263157895,1980.7263157894736,9948.421052631578,741.5578947368421,2019,-31.9076376,115.9425873,WA,6934
36,BATEMAN,1.9406779661016949,3.864406779661017,2.0762711864406778,728.4067796610169,1985.8559322033896,11560.169491525425,815.9237288135594,2016,-32.0595826,115.8443778,WA,6150
38,BAYSWATER,1.5833333333333333,3.239583333333333,1.84375,636.0625,1977.3958333333333,6442.708333333333,882.5625,2019,-31.9164799,115.9172336,WA,6053
39,BAYSWATER,1.5833333333333333,3.239583333333333,1.84375,636.0625,1977.3958333333333,6442.708333333333,882.5625,2019,-31.9217591,115.925209,WA,6933
43,BEACONSFIELD,1.8333333333333333,3.4035087719298245,2.0789473684210527,653.061403508772,1974.929824561404,15525.368421052632,2824.4561403508774,2017,-32.067218,115.7706321,WA,6162
45,BECKENHAM,1.4428571428571428,3.357142857142857,2.242857142857143,794.2571428571429,1981.9714285714283,12477.142857142857,1155.3285714285714,2017,-32.0275041,115.949352,WA,6107
46,BEDFORD,1.6896551724137931,3.2758620689655173,1.988505747126437,618.4252873563219,1977.2988505747128,5639.080459770115,1908.6436781609195,2017,-31.915616,115.884707,WA,6052
47,BEDFORDALE,2.1015625,4.09375,3.078125,10510.578125,1996.1328125,30125.78125,4684.375,2016,-32.1496111,116.054328,WA,6112
48,BEECHBORO,1.3364485981308412,3.420560747663552,2.420560747663552,714.3457943925233,1985.8878504672896,12041.121495327105,4331.77570093458,2017,-31.8680248,115.9387494,WA,6063
49,BEELIAR,1.9876543209876545,3.8395061728395055,2.092592592592593,616.0061728395061,2003.537037037037,20643.20987654321,4545.061728395061,2018,-32.1312555,115.8115536,WA,6164
50,BELDON,1.3986928104575165,3.5294117647058822,1.437908496732026,706.1176470588235,1985.0,21660.13071895425,1481.59477124183,2016,-31.7725971,115.7672666,WA,6027
51,BELHUS,1.9722222222222223,4.138888888888889,2.4444444444444446,14405.361111111111,1994.0833333333333,24122.222222222223,12972.222222222224,2008,-31.7824137,116.0134402,WA,6069
53,BELLEVUE,1.2660550458715596,3.1009174311926606,1.6788990825688073,884.1100917431193,1977.3119266055048,17438.532110091743,3380.733944954128,2014,-31.8999664,116.0236901,WA,6056
57,BELMONT,1.6712328767123288,3.4657534246575343,1.9726027397260275,761.945205479452,1985.027397260274,7050.6164383561645,3606.7123287671234,2017,-31.953847,115.9261098,WA,6104
58,BELMONT,1.6712328767123288,3.4657534246575343,1.9726027397260275,761.945205479452,1985.027397260274,7050.6164383561645,3606.7123287671234,2017,-31.953847,115.9261098,WA,6984
59,BENNETT SPRINGS,2.023696682464455,3.981042654028436,2.1658767772511847,803.1516587677725,2000.3649289099528,12609.478672985782,5701.895734597157,2016,-31.8584,115.946,WA,6063
61,BENTLEY,1.9135802469135803,3.567901234567901,2.074074074074074,701.7530864197531,1987.8024691358023,8274.074074074075,1756.382716049383,2017,-32.0041058,115.8964003,WA,6102
62,BENTLEY,1.9135802469135803,3.567901234567901,2.074074074074074,701.7530864197531,1987.8024691358023,8274.074074074075,1756.382716049383,2017,-32.0041058,115.8964003,WA,6982
63,BERTRAM,2.012987012987013,3.809523809523809,2.090909090909091,533.3116883116883,2004.896103896104,32903.4632034632,1453.060606060606,2017,-32.2475354,115.8476642,WA,6167
64,BIBRA LAKE,1.8059701492537317,3.783582089552239,1.8059701492537317,663.9850746268656,1992.7686567164176,16123.880597014926,3786.567164179105,2017,-32.1022549,115.8240324,WA,6163
65,BICKLEY,1.9545454545454544,3.727272727272727,2.1515151515151514,14979.59090909091,1971.5454545454545,22793.939393939392,11656.060606060606,2008,-32.0033783,116.0904378,WA,6076
66,BICTON,1.8831168831168832,3.6623376623376624,2.220779220779221,735.6753246753246,1984.025974025974,10884.415584415585,3270.12987012987,2018,-32.0300552,115.7845012,WA,6157
67,BOORAGOON,2.0543478260869565,3.8369565217391295,2.1847826086956523,811.3152173913044,1983.9565217391305,10063.04347826087,2109.782608695652,2017,-32.0363985,115.8379711,WA,6154
68,BOORAGOON,2.0543478260869565,3.8369565217391295,2.1847826086956523,811.3152173913044,1983.9565217391305,10063.04347826087,2109.782608695652,2017,-32.0364,115.838,WA,6954
69,BOYA,1.6868686868686869,3.4646464646464645,1.6363636363636365,2307.838383838384,1976.59595959596,18818.18181818182,5754.545454545455,2011,-31.915078,116.0532403,WA,6056
70,BRABHAM,1.968253968253968,3.555555555555556,2.015873015873016,530.6190476190476,2004.4603174603171,18195.23809523809,8888.888888888889,2018,-31.8271,115.969,WA,6055
72,BRENTWOOD,1.6985294117647058,3.3088235294117645,1.7279411764705883,645.7279411764706,1994.2279411764705,10208.088235294115,579.7279411764706,2015,-32.0427611,115.8480251,WA,6153
73,BRIGADOON,2.067961165048544,4.077669902912621,2.1262135922330097,21812.70873786408,1999.6407766990287,27930.09708737864,14154.368932038837,2010,-31.7798811,116.0828251,WA,6069
75,BROOKDALE,1.767605633802817,3.732394366197183,1.97887323943662,562.9507042253521,2000.4154929577464,27662.676056338027,1920.422535211268,2015,-32.1689832,116.0040377,WA,6112
77,BULL CREEK,1.988505747126437,4.011494252873563,2.103448275862069,707.4827586206897,1983.2183908045977,11710.344827586208,1257.9770114942528,2017,-32.0565965,115.864873,WA,6149
78,BULLSBROOK,1.8282828282828285,3.757575757575758,1.808080808080808,18141.16161616161,1994.828282828283,37091.9191919192,26133.33333333333,2017,-31.6553638,115.9977351,WA,6084
79,BURNS BEACH,2.3181818181818183,4.166666666666667,2.212121212121212,566.9090909090909,2007.621212121212,28253.030303030304,2369.696969696969,2017,-31.7246872,115.7248959,WA,6028
80,BURSWOOD,2.0285714285714285,3.5142857142857142,1.8,557.7714285714286,1989.4,3908.571428571429,473.2857142857143,2016,-31.9633074,115.8967553,WA,6100
82,BUTLER,1.9420289855072463,3.5893719806763285,1.8888888888888888,474.4927536231884,2006.782608695652,37368.59903381643,1233.1159420289855,2019,-31.6417639,115.7041334,WA,6036
83,BYFORD,1.942622950819672,3.877049180327869,2.057377049180328,808.4016393442623,2008.254098360656,32390.983606557376,7675.409836065573,2019,-32.2217191,116.0088444,WA,6122
84,CALISTA,1.2043795620437956,3.153284671532847,1.781021897810219,788.4087591240876,1976.8321167883207,33128.46715328467,2211.6788321167883,2014,-32.2471167,115.8065532,WA,6167
85,CAMILLO,1.2923076923076924,3.423076923076923,1.984615384615385,689.8384615384615,1981.953846153846,22453.07692307692,1289.823076923077,2016,-32.1122,116.004,WA,6111
86,CANNING VALE,2.019230769230769,3.967948717948718,1.807692307692308,700.25,1999.025641025641,16023.076923076924,4865.384615384615,2019,-32.0888848,115.9178123,WA,6155
87,CANNINGTON,1.761904761904762,3.273809523809524,2.011904761904762,740.0119047619048,1990.309523809524,9970.238095238095,817.297619047619,2016,-32.0178684,115.9346654,WA,6107
88,CANNINGTON,1.761904761904762,3.273809523809524,2.011904761904762,740.0119047619048,1990.309523809524,9970.238095238095,817.297619047619,2016,-32.0179,115.935,WA,6980
89,CANNINGTON,1.761904761904762,3.273809523809524,2.011904761904762,740.0119047619048,1990.309523809524,9970.238095238095,817.297619047619,2016,-32.0179,115.935,WA,6987
90,CARABOODA,2.333333333333333,4.523809523809524,2.952380952380953,35544.90476190476,1987.6666666666667,41419.04761904762,4409.523809523809,2010,-31.5988865,115.7160969,WA,6033
91,CARDUP,1.860759493670886,3.9367088607594938,2.354430379746836,16395.3417721519,1998.746835443038,34940.50632911392,11158.227848101264,2012,-32.2566391,115.9809995,WA,6122
92,CARINE,1.9915966386554624,3.9159663865546217,1.9663865546218489,730.3277310924369,1983.5210084033613,13472.268907563026,1904.546218487395,2017,-31.8511492,115.7776455,WA,6020
93,CARLISLE,1.6666666666666667,3.1666666666666665,2.141025641025641,523.1410256410256,1987.7307692307693,6348.717948717948,763.1282051282051,2018,-31.9786278,115.9171073,WA,6101
94,CARMEL,1.8461538461538465,3.942307692307693,2.1923076923076925,19412.98076923077,1979.2115384615383,23250.0,10842.307692307691,2008,-32.0189524,116.0740776,WA,6076
96,CARRAMAR,2.0288461538461537,4.0048076923076925,2.1009615384615383,808.4471153846154,2001.2163461538464,28093.26923076923,4071.153846153846,2018,-31.7061221,115.7879599,WA,6031
100,CASUARINA,1.9605263157894737,3.934210526315789,2.473684210526316,14438.276315789471,1991.421052631579,31636.84210526316,3186.842105263158,2008,-32.2375879,115.8745816,WA,6167
101,CAVERSHAM,1.9583333333333333,3.7430555555555554,2.25,1805.8402777777776,2002.3958333333333,13854.166666666666,3491.6666666666665,2017,-31.8757294,115.9748739,WA,6055
102,CHAMPION LAKES,1.874074074074074,3.4962962962962965,1.8,2727.474074074074,2007.1851851851848,22089.62962962963,2201.4814814814813,2013,-32.1171178,115.9860294,WA,6111
103,CHIDLOW,1.5754716981132075,3.4716981132075477,2.30188679245283,12956.433962264153,1983.5,40171.698113207545,25570.754716981133,2013,-31.8580021,116.2716751,WA,6556
104,CHURCHLANDS,2.340909090909091,3.946969696969697,2.053030303030303,860.5151515151515,1997.4166666666667,7098.484848484848,3059.848484848485,2016,-31.9215456,115.7897621,WA,6018
105,CITY BEACH,2.2884615384615383,4.057692307692308,2.333333333333333,860.0384615384615,1977.7884615384612,9414.102564102564,5674.358974358975,2017,-31.9393057,115.7634366,WA,6015
106,CLAREMONT,2.015873015873016,3.3492063492063493,2.0793650793650795,551.5714285714286,1982.2380952380952,7803.174603174603,610.2698412698413,2018,-31.9842456,115.7780005,WA,6010
107,CLAREMONT,2.015873015873016,3.3492063492063493,2.0793650793650795,551.5714285714286,1982.2380952380952,7803.174603174603,610.2698412698413,2018,-31.9842456,115.7780005,WA,6910
109,CLARKSON,1.876470588235294,3.6411764705882352,1.8705882352941177,967.2058823529412,2002.758823529412,32309.41176470588,1530.9176470588236,2019,-31.6843679,115.7267753,WA,6030
110,CLOVERDALE,1.6857142857142855,3.3142857142857145,2.442857142857143,659.3,1986.0285714285717,8300.0,4515.714285714285,2018,-31.9624535,115.9447259,WA,6105
111,CLOVERDALE,1.6857142857142855,3.3142857142857145,2.442857142857143,659.3,1986.0285714285717,8300.0,4515.714285714285,2018,-31.9624535,115.9447259,WA,6985
112,COCKBURN CENTRAL,1.9696969696969695,3.1818181818181817,1.7878787878787878,1185.3030303030305,2003.3939393939395,19427.272727272728,850.2424242424242,2016,-32.1213274,115.848442,WA,6164
115,COMO,1.95,3.566666666666667,2.2,728.3666666666667,1984.8833333333332,5128.333333333333,1802.25,2019,-32.0010903,115.8617166,WA,6152
116,COMO,1.95,3.566666666666667,2.2,728.3666666666667,1984.8833333333332,5128.333333333333,1802.25,2019,-32.0010903,115.8617166,WA,6952
117,CONNOLLY,2.104,3.976,2.112,990.352,1992.224,24886.4,1770.232,2016,-31.7518034,115.7505882,WA,6027
119,COOGEE,2.15267175572519,3.954198473282443,2.595419847328244,670.6030534351145,1996.2671755725191,20308.396946564884,7719.847328244275,2017,-32.116126,115.7657929,WA,6166
120,COOLBELLUP,1.391304347826087,3.282608695652174,1.858695652173913,646.554347826087,1979.1521739130435,15147.826086956522,4486.95652173913,2017,-32.0834068,115.806858,WA,6163
121,COOLBINIA,1.822695035460993,3.4609929078014185,2.00709219858156,767.6524822695036,1969.099290780142,4241.843971631206,2911.3475177304963,2013,-31.9138684,115.8543906,WA,6050
122,COOLOONGUP,1.446969696969697,3.5454545454545454,1.681818181818182,726.060606060606,1987.659090909091,39328.78787878788,1022.1590909090908,2018,-32.2945848,115.7629192,WA,6168
123,COTTESLOE,2.0434782608695654,3.3043478260869565,1.7536231884057971,622.6521739130435,1968.6521739130435,10357.971014492754,502.9420289855073,2018,-31.9896506,115.7630503,WA,6011
124,COTTESLOE,2.0434782608695654,3.3043478260869565,1.7536231884057971,622.6521739130435,1968.6521739130435,10357.971014492754,502.9420289855073,2018,-31.9896506,115.7630503,WA,6911
127,CRAIGIE,1.2340425531914894,3.372340425531915,1.5319148936170213,789.0957446808511,1980.8085106382975,20470.212765957447,1802.86170212766,2018,-31.7852371,115.7675831,WA,6025
128,CRAWLEY,1.4545454545454546,2.9545454545454546,1.3636363636363635,445.27272727272725,1980.3636363636365,5023.409090909091,3450.0,2015,-31.9820615,115.8107681,WA,6009
129,CURRAMBINE,2.02247191011236,3.859550561797753,1.9438202247191008,669.7921348314607,1997.8370786516853,26636.516853932582,1105.241573033708,2018,-31.7350638,115.7450235,WA,6028
130,DAGLISH,1.7373737373737377,3.202020202020202,1.9393939393939397,690.2323232323232,1962.6969696969695,4616.161616161616,468.5252525252525,2013,-31.9518509,115.8097338,WA,6008
131,DALKEITH,2.287671232876712,4.013698630136986,2.095890410958904,947.8219178082192,1965.1780821917807,7454.7945205479455,3032.876712328767,2016,-31.9947742,115.7988073,WA,6009
132,DARCH,2.0248756218905477,3.9203980099502487,2.029850746268657,544.9154228855722,2006.179104477612,15585.074626865671,5956.716417910448,2017,-31.8132291,115.8448339,WA,6065
133,DARLING DOWNS,2.0588235294117645,4.205882352941177,3.147058823529412,18302.352941176472,1994.1911764705883,29932.352941176472,4801.470588235294,2014,-32.1967124,115.9866015,WA,6122
139,DARLINGTON,1.907692307692308,3.753846153846154,2.2846153846153845,2529.630769230769,1973.7769230769231,21028.46153846154,7653.076923076923,2017,-31.9226334,116.0827607,WA,6070
140,DAYTON,1.9864864864864864,3.445945945945946,2.027027027027027,834.1621621621622,2008.891891891892,15020.27027027027,4609.459459459459,2016,-31.8556,115.969,WA,6055
141,DIANELLA,1.8513513513513515,3.527027027027027,1.7972972972972974,659.0,1988.9594594594596,7275.675675675676,5004.054054054054,2019,-31.8843665,115.8699209,WA,6059
142,DOUBLEVIEW,1.8229166666666667,3.34375,2.020833333333333,513.6145833333334,1986.3333333333333,9619.791666666666,2237.5,2019,-31.8999114,115.7812494,WA,6018
143,DUNCRAIG,1.8387096774193548,3.795698924731183,1.946236559139785,710.0,1982.6559139784947,15490.32258064516,1550.451612903226,2019,-31.8306124,115.7752703,WA,6023
144,EAST CANNINGTON,1.7964601769911503,3.7168141592920354,2.256637168141593,773.4690265486726,1993.1061946902653,11264.601769911504,1480.132743362832,2016,-32.0056699,115.9633174,WA,6107
145,EAST FREMANTLE,1.82,3.43,2.04,807.29,1962.81,13095.0,1909.79,2018,-32.0367504,115.7663951,WA,6158
146,EAST PERTH,1.6363636363636365,2.5454545454545454,1.5454545454545454,1363.7272727272727,1997.1818181818185,1590.909090909091,603.7272727272727,2019,-31.9540106,115.8787926,WA,6004
147,EAST PERTH,1.6363636363636365,2.5454545454545454,1.5454545454545454,1363.7272727272727,1997.1818181818185,1590.909090909091,603.7272727272727,2019,-31.9607635,115.8745971,WA,6892
148,EAST VICTORIA PARK,1.6292134831460674,3.269662921348315,2.067415730337079,526.0,1970.112359550562,5811.23595505618,1348.685393258427,2018,-31.9846562,115.9083631,WA,6101
149,EAST VICTORIA PARK,1.6292134831460674,3.269662921348315,2.067415730337079,526.0,1970.112359550562,5811.23595505618,1348.685393258427,2018,-31.9889419,115.9060249,WA,6981
150,EDEN HILL,1.4591836734693877,3.2857142857142856,2.7142857142857144,897.2551020408164,1979.7755102040817,10582.65306122449,1515.8367346938776,2016,-31.8906446,115.9421817,WA,6054
151,EDGEWATER,1.8416666666666663,3.808333333333333,1.8916666666666664,788.7083333333334,1986.0583333333332,22014.166666666668,1127.2,2016,-31.7647978,115.781458,WA,6027
153,EGLINTON,1.9342105263157892,3.6052631578947367,1.605263157894737,643.421052631579,2011.171052631579,43557.89473684211,5310.526315789473,2017,-31.5877637,115.6687491,WA,6034
154,ELLENBROOK,1.941935483870968,3.825806451612903,2.0,566.2967741935483,2002.4967741935484,22374.83870967742,13577.41935483871,2019,-31.7645555,116.005922,WA,6069
155,EMBLETON,1.585858585858586,3.2222222222222223,1.9393939393939397,587.020202020202,1983.757575757576,7238.383838383838,1777.7777777777778,2016,-31.90313,115.9104907,WA,6062
157,FERNDALE,1.5083333333333333,3.55,2.283333333333333,1016.45,1978.8833333333332,10787.5,3127.5,2016,-32.0307555,115.9253485,WA,6148
158,FLOREAT,2.1811023622047245,3.921259842519685,2.1496062992125986,798.0472440944882,1972.6614173228347,6300.787401574803,3100.787401574803,2018,-31.9344265,115.7906461,WA,6014
159,FORRESTDALE,1.5666666666666669,3.783333333333333,2.3833333333333333,9635.2,1984.6166666666663,23650.0,6835.0,2013,-32.1477898,115.9369583,WA,6112
160,FORRESTFIELD,1.6355932203389831,3.559322033898305,1.728813559322034,913.1271186440678,1991.71186440678,14312.71186440678,7777.966101694915,2019,-31.9831525,116.0000104,WA,6058
161,FREMANTLE,1.5774647887323945,3.0985915492957745,1.7746478873239435,566.6760563380282,1967.4929577464789,14718.30985915493,1653.0704225352113,2019,-32.0539328,115.7604781,WA,6160
162,FREMANTLE,1.5774647887323945,3.0985915492957745,1.7746478873239435,566.6760563380282,1967.4929577464789,14718.30985915493,1653.0704225352113,2019,-32.0518191,115.7551085,WA,6959
163,GIDGEGANNUP,1.9540229885057472,3.8620689655172415,2.942528735632184,73836.6091954023,1994.896551724138,35675.862068965514,20721.83908045977,2015,-31.7930685,116.1965988,WA,6083
164,GIRRAWHEEN,1.1702127659574468,3.223404255319149,1.6914893617021276,1253.351063829787,1975.9787234042556,12518.08510638298,4159.574468085107,2017,-31.8406834,115.8403151,WA,6064
165,GLEN FORREST,1.7482014388489209,3.647482014388489,2.647482014388489,4043.489208633093,1981.1654676258995,23592.086330935253,9948.920863309351,2015,-31.910937,116.1042495,WA,6071
166,GLENDALOUGH,1.28,2.64,1.48,4996.84,1986.84,5176.0,623.56,2015,-31.9192332,115.8200294,WA,6016
167,GNANGARA,2.176470588235294,4.352941176470588,2.588235294117647,14153.137254901962,1995.0196078431368,19407.843137254906,7440.196078431372,2007,-31.7756709,115.8656825,WA,6065
